id,name,name_zh,description,individual_value,hunger_restore,hp_restore,mp_restore
,-> 基础食物,,,,,,
1,bread,面包,"新鲜出炉的面包, 散发着麦香",10,12,,
,apple,苹果,"鲜红多汁的苹果, 吃起来爽脆",5,5,,
,carrot,萝卜,煮熟后会变得很甜,5,5,,
,potato,土豆,有数百种不同烹饪方法的万能蔬菜,4,5,-15,
,egg,鸡蛋,"整只鸡蛋, 营养丰富",7,3,,
,milk,牛奶,可以增强你的骨骼,12,7,,
,raw_meat,生肉,"大部分动物的可食用部分, 必须煮熟后才能食用",15,5,-35,
,-> 加工食物,,,,,,
,boiled_egg,水煮蛋,煮熟的鸡蛋,12,10,10,
,-> 高级食物,,,,,,
,mushroom_soup,蘑菇汤,"用野外采集的蘑菇熬制, 有治愈效果",25,25,10,
,meat_skewer,烤肉串,"冒险者喜爱的肉串, 恢复较多体力",17,36,25,
,honey_apple,蜂蜜苹果,"甜美的苹果, 恢复体力",30,30,20,15
,-> 特殊食物,,,,,,
,magic_cake,魔法蛋糕,"由精灵制作的蛋糕, 闪烁着微光, 充满魔力",50,25,30,30
,mary_cookie,玛丽能量饼干,"玛丽秘制, 恢复体力并恢复精力",75,50,50,50
